"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_System","Supply Air","Supply Air","Supply Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassCode","Pr_65_65_25","Pr_65_65_25","Pr_65_65_25","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassDescription","Ductwork and fittings","Ductwork and fittings","Ductwork and fittings","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS00","WBH","WBH","WBH","SKIP","already-matches","instance","Shared Parameter","9214738","NWB_WBS00","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS01","HO","HO","HO","SKIP","already-matches","instance","Shared Parameter","9214798","NWB_WBS01","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS04","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","9214762","NWB_WBS04","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS05","SI5","SI5","SI5","SKIP","already-matches","instance","Shared Parameter","9214810","NWB_WBS05","String","False","1","1","45","MDUC","MDUC-HO-06-517135","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-06-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Category","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626160","NWB_Category","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Department","","","","SKIP","linked/direct room department unavailable (self)","","","","NWB_Department","","","","","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_SubDepartment","","","","SKIP","linked/direct room subdepartment unavailable (self)","","","","NWB_SubDepartment","","","","","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_System","Supply Air","Supply Air","Supply Air","SKIP","already-matches","instance","Shared Parameter","7626163","NWB_System","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassCode","Pr_65_65_25","Pr_65_65_25","Pr_65_65_25","SKIP","already-matches","instance","Shared Parameter","7626165","NWB_UniclassCode","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassDescription","Ductwork and fittings","Ductwork and fittings","Ductwork and fittings","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS00","WBH","WBH","WBH","SKIP","already-matches","instance","Shared Parameter","9214738","NWB_WBS00","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS01","HO","HO","HO","SKIP","already-matches","instance","Shared Parameter","9214798","NWB_WBS01","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS04","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","9214762","NWB_WBS04","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Supply Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS05","SI5","SI5","SI5","SKIP","already-matches","instance","Shared Parameter","9214810","NWB_WBS05","String","False","1","1","45","MDUC","MDUC-HO-GR-2954954","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","842","Room","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-GR-Z00-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-09-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-09-PAT-ME-SI5"
"20260815_200220","NWB_PARAMETERS AutoFill","ACC-COORD-DUCTWORK","model","view","smart","SharedOnly","skip-other-users","2955390","Ducts","Rectangular Duct","","LEVEL 09","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_Discipline","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","45","MDUC","MDUC-HO-09-2955390","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","self","NWB-MHT-WBH-EL-MOD-0001","PAT.07.075","Laboratory, Anatomical Pathology","PAT","01","","","PAT","01","","","WBH","HO","PAT","SI5","WBH-HO-09-PAT-ME-SI5"
